Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
HVALUR3CD,Valgeir Sigurðsson,Ekvílibríum,Bedroom Community,"CD, Album",2007,1058006,Uncategorized,01/12/2019 00:30,12/01/2019,00:30:00,Bedroom Community,,Different,CD,2
"HVALUR6, HVALUR006CD",Ben Frost,By The Throat,"Bedroom Community, Bedroom Community","CD, Album",2009,1976702,Uncategorized,07/12/2019 22:06,12/07/2019,22:06:00,Bedroom Community,Bedroom Community,Same,CD,3
"HVALUR20LP, STUMM368 ",Ben Frost,A U R O R A,"Bedroom Community, Mute","LP, Album",2014,5718212,Uncategorized,02/11/2019 11:13,11/02/2019,11:13:00,Bedroom Community,Mute,Different,LP,12
BBQ 367CD,Tindersticks,Don't Even Go There,Beggars Banquet,"CD, EP",2003,676865,Uncategorized,14/12/2019 17:52,14/12/2019,17:52:00,Beggars Banquet,,Different,CD,2
BBQ 372CD,Tindersticks,My Oblivion,Beggars Banquet,"CD, EP",2003,1317677,Uncategorized,28/11/2019 23:21,28/11/2019,23:21:00,Beggars Banquet,,Different,CD,2
BBQCD 225,Tindersticks,Trouble Every Day (Original Soundtrack),Beggars Banquet,"CD, Album",2001,436649,Uncategorized,20/12/2019 10:41,20/12/2019,10:41:00,Beggars Banquet,,Different,CD,5
bbqcd 232,Tindersticks,Waiting For The Moon,Beggars Banquet,"CD, Album, Dig",2003,970825,Uncategorized,28/11/2019 23:30,28/11/2019,23:30:00,Beggars Banquet,,Different,CD,6
BBQDVD 239X,Tindersticks,Bareback (Nine Films By Martin Wallace),Beggars Banquet,DVD-V,2005,654887,Uncategorized,25/12/2019 13:07,25/12/2019,13:07:00,Beggars Banquet,,Different,DVD-V,4
SINS 1CD,Tindersticks,What Is A Man,Beggars Banquet,"CD, Single",2000,745408,Uncategorized,14/12/2019 17:52,14/12/2019,17:52:00,Beggars Banquet,,Different,CD,2
BBQCD 215,Mark Lanegan,I'll Take Care Of You,"Beggars Banquet, Sub Pop","CD, Album",1999,10248243,Uncategorized,02/08/2020 17:35,08/02/2020,17:35:00,Beggars Banquet,Sub Pop,Different,CD,2
BELLACD 92,Art Of Fighting,Second Storey,Bella Union,"CD, Album",2005,568228,Uncategorized,07/12/2019 22:44,12/07/2019,22:44:00,Bella Union,,Different,CD,6
ATONAL007,Mika Vainio,2.51E+16,Berlin Atonal Recordings,"xLP, Album, Ltd",2020,17439628,Uncategorized,12/02/2022 23:36,02/12/2022,23:36:00,Berlin Atonal Recordings,,Different,LP,30
BINE 018CD,Scanner,"Rockets, Unto The Edges Of Edges",BineMusic,"CD, Album",2009,1772971,Uncategorized,01/12/2019 00:31,12/01/2019,00:31:00,BineMusic,,Different,CD,6
"bmr103, ECT ENTS 029",Foetus,Vein,"Birdman Records, Ectopic Ents","CD, Album, Enh",2007,1073070,Uncategorized,12/09/2023 01:19,09/12/2023,01:19:00,Birdman Records,Ectopic Ents,Different,CD,6
BT01,Oren Ambarchi,Stacte.3,Black Truffle,"CD, Album, RE, RM",2009,1655976,Uncategorized,01/12/2019 00:25,12/01/2019,00:25:00,Black Truffle,,Different,CD,7
BT046,Phew / Oren Ambarchi / Jim O'Rourke,Patience Soup,Black Truffle,LP,2019,13469568,Uncategorized,23/11/2019 15:50,23/11/2019,15:50:00,Black Truffle,,Different,LP,36
BT083,Oren Ambarchi,Live Hubris,Black Truffle,"LP, Album, Ltd, Pin",2021,21247897,Uncategorized,17/12/2021 10:59,17/12/2021,10:59:00,Black Truffle,,Different,LP,41
BLACKESTLP014,Raime,Tooth,Blackest Ever Black,"x"", Album, ",2016,8630107,Uncategorized,22/11/2019 15:30,22/11/2019,15:30:00,Blackest Ever Black,,Different,"x"", Album, ",4
BF-024,Don Cherry,The Summer House Sessions,Blank Forms Editions,"LP, Album",2021,20978656,Uncategorized,12/02/2022 12:24,02/12/2022,12:24:00,Blank Forms Editions,,Different,LP,41
"BF-023, 023",Don Cherry's New Researches Featuring Naná Vasconcelos,Organic Music Theatre (Festival De Jazz De Chateauvallon 1972),"Blank Forms Editions, Blank Forms Editions, INA","xLP, Album",2021,21053551,Uncategorized,07/01/2022 14:00,01/07/2022,14:00:00,Blank Forms Editions,"Blank Forms Editions, INA",Different,LP,42
BFFP144CD,Labradford,Mi Media Naranja,Blast First,"CD, Album",1997,30396,Uncategorized,28/11/2019 23:29,28/11/2019,23:29:00,Blast First,,Different,CD,7
12,Sarah Hennies,Embedded Environments,Blume,"LP, Album, Ltd, Oli",2018,11732848,Uncategorized,22/11/2019 13:54,22/11/2019,13:54:00,Blume,,Different,LP,44
13,Alvin Curran,Canti Illuminati,Blume,"LP, Album, RE, Whi",2019,13258159,Uncategorized,23/11/2019 21:14,23/11/2019,21:14:00,Blume,,Different,LP,41
SIDRA05LP,Oren Ambarchi & Robbie Avenaim,Dream Request,Bo'Weavil Recordings,"LP, Ltd",2011,2938724,Uncategorized,12/08/2022 15:20,08/12/2022,15:20:00,Bo'Weavil Recordings,,Different,LP,39
BK12X1204,Kara-Lis Coverdale,Grafts,Boomkat Editions,"LP, Album, RE, Ext",2020,15640835,Uncategorized,22/07/2020 11:55,22/07/2020,11:55:00,Boomkat Editions,,Different,LP,32
BKEDIT015COL,Akira Rabelais,Spellewauerynsherde,Boomkat Editions,"LP, Ltd, Cle",2017,10686275,Uncategorized,22/11/2019 14:42,22/11/2019,14:42:00,Boomkat Editions,,Different,LP,38
BKEDIT021,Laura Cannell And Polly Wright,Sing As The Crow Flies,Boomkat Editions,"LP, Album, Cle",2021,19155094,Uncategorized,08/02/2023 04:56,02/08/2023,04:56:00,Boomkat Editions,,Different,LP,45
BPC193CD,AGF/Delay,Symptoms,BPitch Control,"CD, Album",2009,1677333,Uncategorized,24/11/2019 15:36,24/11/2019,15:36:00,BPitch Control,,Different,CD,5
HWY-010,Clogs,Lantern,Brassland,"CD, Album",2006,2263171,Uncategorized,14/12/2019 17:57,14/12/2019,17:57:00,Brassland,,Different,CD,5
BB 340,Hans-Joachim Roedelius,Tape Archive Essence 1973-1978,Bureau B,"LP, Comp",2020,15135005,Uncategorized,27/04/2020 13:30,27/04/2020,13:30:00,Bureau B,,Different,LP,36
BB029,Cluster & Brian Eno,Cluster & Eno,Bureau B,"LP, Album, RE, RM",2009,1966269,Uncategorized,12/11/2019 21:13,11/12/2019,21:13:00,Bureau B,,Different,LP,25
0946 3 70946 2 4,Sparklehorse,Dreamt For Light Years In The Belly Of A Mountain,Capitol Records,"CD, Album, RE",0,6391499,Uncategorized,07/12/2019 22:33,12/07/2019,22:33:00,Capitol Records,,Different,CD,2
CDP 7243 5 25616 2 9,Sparklehorse,It's A Wonderful Life,Capitol Records,"CD, Album, RP",0,9868863,Uncategorized,07/12/2019 22:26,12/07/2019,22:26:00,Capitol Records,,Different,CD,2
CDP 7243 5 29684 2 8,Radiohead,Kid A (Book And Compact Disc),Capitol Records,"CD, Album",2000,345422,Uncategorized,23/11/2019 20:23,23/11/2019,20:23:00,Capitol Records,,Different,CD,7
"0777 7 96508 2 8, CDEST 2196",Mazzy Star,She Hangs Brightly,"Capitol Records, Capitol Records","CD, Album, RP",0,10074111,Uncategorized,07/12/2019 22:23,12/07/2019,22:23:00,Capitol Records,Capitol Records,Same,CD,3
"7243 8 27224 2 7, CDEST 2288",Mazzy Star,Among My Swan,"Capitol Records, Capitol Records","CD, Album, RP",0,10074194,Uncategorized,07/12/2019 22:32,12/07/2019,22:32:00,Capitol Records,Capitol Records,Same,CD,5
7243 8 29842 2 1,Butthole Surfers,Electriclarryland,"Capitol Records, EMI Music Canada","CD, Album",1996,1263203,Uncategorized,02/08/2020 17:34,08/02/2020,17:34:00,Capitol Records,EMI Music Canada,Different,CD,3
CAP 21836,Don Cherry,Live In Stockholm,Caprice Records,"xLP, Album",2013,5210884,Uncategorized,26/06/2021 03:42,26/06/2021,03:42:00,Caprice Records,,Different,LP,11
cak 31,Belong,October Language,Carpark Records,"CD, Album",2006,617040,Uncategorized,12/09/2023 01:07,09/12/2023,01:07:00,Carpark Records,,Different,CD,7
CMEDD 1121,Comus,Song To Comus (The Complete Collection),Castle Music,"xCD, Comp, RP",0,8468631,Uncategorized,14/12/2019 17:55,14/12/2019,17:55:00,Castle Music,,Different,CD,6
CH49,Tenniscoats,Live Wanderus,Chapter Music,"CD, Album",2005,908900,Uncategorized,20/12/2019 10:45,20/12/2019,10:45:00,Chapter Music,,Different,CD,6
chem018cd,Mogwai,Young Team,Chemikal Underground,"CD, Album",1997,6182492,Uncategorized,07/12/2019 22:45,12/07/2019,22:45:00,Chemikal Underground,,Different,CD,4
chem033cd,Mogwai,Come On Die Young,Chemikal Underground,"CD, Album",0,8735277,Uncategorized,07/12/2019 22:37,12/07/2019,22:37:00,Chemikal Underground,,Different,CD,5
7243 879867 0 1,Starsailor,Alcoholic,Chrysalis,"CD, Maxi, Enh",2001,1522181,Uncategorized,07/12/2019 22:23,12/07/2019,22:23:00,Chrysalis,,Different,CD,2
towerblock cd 021,Swod,Gehen,City Centre Offices,"CD, Album",2004,317224,Uncategorized,25/12/2019 12:36,25/12/2019,12:36:00,City Centre Offices,,Different,CD,7
Towerblock CD 041,Swod,Sekunden,City Centre Offices,"CD, Album, Enh, Promo",2007,3003684,Uncategorized,25/12/2019 12:37,25/12/2019,12:37:00,City Centre Offices,,Different,CD,6
SLANG 1042592,The Album Leaf,Into The Blue Again,City Slang,"CD, Album, Enh",2006,767281,Uncategorized,12/09/2023 01:08,09/12/2023,01:08:00,City Slang,,Different,CD,6
SLANG 1047822P,Menomena,Friend And Foe,City Slang,"CD, Album",2007,4307873,Uncategorized,12/09/2023 01:23,09/12/2023,01:23:00,City Slang,,Different,CD,2
"20184-2, 7243 812124 2 4",The Notwist,Neon Golden,"City Slang, Virgin","CD, Album",2002,887683,Uncategorized,24/11/2019 15:37,24/11/2019,15:37:00,City Slang,Virgin,Different,CD,4
CLAP004,Encre,Flux,Clapping Music,"CD, Album",2004,392329,Uncategorized,07/12/2019 22:23,12/07/2019,22:23:00,Clapping Music,,Different,CD,7
CSC 014,David Kristian + Ryosuke Aoike,Ghost Storeys,Cocosolidciti,"CD, Album + DVD-V, NTSC",2006,871101,Uncategorized,07/12/2019 22:58,12/07/2019,22:58:00,Cocosolidciti,,Different,CD,7
CSR138CD,Machinefabriek,Vloed,Cold Spring,"CD, Album, RE",2010,2561196,Uncategorized,20/12/2019 10:47,20/12/2019,10:47:00,Cold Spring,,Different,CD,2
CSR276LP,Coil,Stolen & Contaminated Songs,Cold Spring,"xLP, Album, RE",2019,14576658,Uncategorized,14/08/2020 08:21,14/08/2020,08:21:00,Cold Spring,,Different,LP,19
2J 054-70231,"Mikis Theodorakis, Γρηγόρης Μπιθικώτσης, Στέλιος Καζαντζίδης",Πολιτεία,Columbia,LP,1976,2341614,Uncategorized,25/11/2019 12:33,25/11/2019,12:33:00,Columbia,,Different,LP,22
COL 465653 2,Midnight Oil,Blue Sky Mining,Columbia,"CD, Album, RE",0,3758566,Uncategorized,07/12/2019 22:35,12/07/2019,22:35:00,Columbia,,Different,CD,5
MS 7207,Harry Partch,The World Of Harry Partch,Columbia Masterworks,"LP, Album",1969,833758,Uncategorized,22/11/2019 18:05,22/11/2019,18:05:00,Columbia Masterworks,,Different,LP,10
RZCM-45844,Ryuichi Sakamoto,Koko,Commmons,"CD, Single, Dig",2008,1609801,Uncategorized,01/12/2019 00:08,12/01/2019,00:08:00,Commmons,,Different,CD,4
RZCM-46129,Ryuichi Sakamoto,Out Of Noise,Commmons,"CD, Album",2009,3151107,Uncategorized,01/12/2019 00:08,12/01/2019,00:08:00,Commmons,,Different,CD,7
"HARD 22 CDX, 74321 48769 2",Death In Vegas,Dead Elvis,"Concrete, Deconstruction","CD, Album, RE",1997,1223706,Uncategorized,12/09/2023 01:13,09/12/2023,01:13:00,Concrete,Deconstruction,Different,CD,6
CTITTTLP2017,Cosey Fanni Tutti,Time To Tell,Conspiracy International,"LP, Album, Dlx, RE, RM, Cle",2017,11145265,Uncategorized,31/10/2019 23:09,31/10/2019,23:09:00,Conspiracy International,,Different,LP,26
CORE021,Immense,Hidden Between Sleeves,Conspiracy Records (2),"CD, Album",2004,1383772,Uncategorized,25/12/2019 12:47,25/12/2019,12:47:00,Conspiracy Records (2),,Different,CD,2
cst018-2,A Silver Mt. Zion,Born Into Trouble As The Sparks Fly Upward.,Constellation,"CD, Album",2001,95247,Uncategorized,25/12/2019 12:34,25/12/2019,12:34:00,Constellation,,Different,CD,5
CST027-2,A Silver Mt. Zion,"This Is Our Punk-Rock, Thee Rusted Satellites Gather+Sing,",Constellation,"CD, Album",2003,194902,Uncategorized,25/12/2019 12:34,25/12/2019,12:34:00,Constellation,,Different,CD,3
cst030-2,A Silver Mt. Zion,"The ""Pretty Little Lightning Paw"" E.P.",Constellation,"CD, EP",2004,261626,Uncategorized,25/12/2019 12:41,25/12/2019,12:41:00,Constellation,,Different,CD,2
cst033-2,A Silver Mt. Zion,Horses In The Sky,Constellation,"CD, Album",2005,430279,Uncategorized,25/12/2019 12:37,25/12/2019,12:37:00,Constellation,,Different,CD,2
CST063-2,A Silver Mt. Zion,Kollaps Tradixionales,Constellation,"CD, Album, Ltd",2010,2173134,Uncategorized,25/12/2019 13:07,25/12/2019,13:07:00,Constellation,,Different,CD,6
CST113-1,Colin Stetson And Sarah Neufeld,Never Were The Way She Was,Constellation,"LP, Album, ",2015,6887839,Uncategorized,02/11/2019 11:19,11/02/2019,11:19:00,Constellation,,Different,LP,32
CFK018,Rebekka Karijord,Music For Film And Theatre,Control Freak Kitten Records,"CD, Album, Dig",2014,5212995,Uncategorized,14/12/2019 17:54,14/12/2019,17:54:00,Control Freak Kitten Records,,Different,CD,7
NIFE 010V,Current 93,"Baalstorm, Sing Omega",Coptic Cat,"LP, Album, Red",2010,2296958,Uncategorized,22/11/2019 18:07,22/11/2019,18:07:00,Coptic Cat,,Different,LP,10
CR03,Mika Vainio & Franck Vigroux,"Peau Froide, Léger Soleil",Cosmo Rhythmatic,"CD, Album",2015,7613352,Uncategorized,08/02/2023 04:56,02/08/2023,04:56:00,Cosmo Rhythmatic,,Different,CD,6
CS007,Ollie Olsen,Simulated,Creative Space Records,"CD, Album",2007,905002,Uncategorized,01/12/2019 00:16,12/01/2019,00:16:00,Creative Space Records,,Different,CD,4
Crónica 027~2006,Stephan Mathieu & Janek Schaefer,Hidden Name,Crónica,"CD, Album",2006,706326,Uncategorized,01/12/2019 00:36,12/01/2019,00:36:00,Crónica,,Different,CD,7
DAIS 103,Time Machines,Time Machines,Dais Records,"xLP, Album, Ltd, RE, RM, RP, Yel",2018,11538670,Uncategorized,14/08/2020 08:23,14/08/2020,08:23:00,Dais Records,,Different,LP,26
DAIS 114,Coil Presents Black Light District,A Thousand Lights In A Darkened Room,Dais Records,"xLP, Album, RE, RM",2018,12707439,Uncategorized,12/09/2021 15:17,09/12/2021,15:17:00,Dais Records,,Different,LP,23
dais155,Coil,Musick To Play In The Dark,Dais Records,"LP + LP, S/Sided, Etch + Album, Ltd, RE, RM, Cle",2020,16286658,Uncategorized,01/12/2020 14:59,12/01/2020,14:59:00,Dais Records,,Different,LP,28
dais184,Coil,Musick To Play In The Dark²,Dais Records,"LP + LP, S/Sided, Etch + Album, Ltd, RE, Bla",2022,23038940,Uncategorized,02/05/2022 10:54,05/02/2022,10:54:00,Dais Records,,Different,LP,14
DAIS186,Coil,Constant Shallowness Leads To Evil,Dais Records,"xLP, Album, Ltd, RE, RM, Cle",2022,24168164,Uncategorized,27/09/2022 04:36,27/09/2022,04:36:00,Dais Records,,Different,LP,12
DWR009,Oren Ambarchi / Eli Keszler,Alps,Dancing Wayang,"LP, Ltd, Num",2014,5996479,Uncategorized,23/11/2019 15:41,23/11/2019,15:41:00,Dancing Wayang,,Different,LP,14
drl 027-2,Windy & Carl,"Antarctica (The Bliss Out, Vol. 2)",Darla Records,"CD, Album",1997,13609629,Uncategorized,28/11/2019 23:30,28/11/2019,23:30:00,Darla Records,,Different,CD,4
DRL248-1,Harold Budd,In The Mist,Darla Records,"xLP, Album, Ltd",2012,3743759,Uncategorized,31/10/2019 22:58,31/10/2019,22:58:00,Darla Records,,Different,LP,25
DEATH039LP,No Artist,"London Pirate Radio Adverts 1984-1993, Vol. 1",Death Is Not The End,"LP, Comp, Cle",2021,21340384,Uncategorized,17/12/2021 10:58,17/12/2021,10:58:00,Death Is Not The End,,Different,LP,36
2717098,Ryuichi Sakamoto,Playing The Piano / Out Of Noise,Decca,"CD, Comp + CD, Album",2009,12829502,Uncategorized,23/11/2019 10:55,23/11/2019,10:55:00,Decca,,Different,CD,4
"485 5915, 4855915",Ludovico Einaudi,Cinema,"Decca, Decca","xLP, Album, Comp",2021,19017871,Uncategorized,24/08/2021 17:59,24/08/2021,17:59:00,Decca,Decca,Same,LP,15
"74321 661992, HARD41CD",Death In Vegas,The Contino Sessions,"Deconstruction, Concrete","CD, Album, Enh, Sli",1999,864793,Uncategorized,12/09/2023 01:13,09/12/2023,01:13:00,Deconstruction,Concrete,Different,CD,6
Dekorder 026,Daniel Padden,Pause For The Jet,Dekorder,LP,2008,1442769,Uncategorized,23/11/2019 21:21,23/11/2019,21:21:00,Dekorder,,Different,LP,15
den109,Aun (2),Phantom Ghost,Denovali Records,"LP, Album, Ltd",2011,4001414,Uncategorized,23/11/2019 21:24,23/11/2019,21:24:00,Denovali Records,,Different,LP,11
DEN157,The Alvaret Ensemble,The Alvaret Ensemble,Denovali Records,"LP, Whi + LP + Album, Ltd",2012,4163421,Uncategorized,23/11/2019 15:45,23/11/2019,15:45:00,Denovali Records,,Different,LP,24
den215,Thomas Köner,Tiento De Las Nieves,Denovali Records,"x"", Album, Ltd, Whi",2014,6394778,Uncategorized,22/11/2019 23:24,22/11/2019,23:24:00,Denovali Records,,Different,"x"", Album, Ltd, Whi",2
0289 479 9842 6,Jóhann Jóhannsson,Englabörn & Variations,Deutsche Grammophon,"LP, Album, RE, RM,  + LP,  + Gat",2018,11750094,Uncategorized,03/11/2019 10:50,11/03/2019,10:50:00,Deutsche Grammophon,,Different,LP,18
479 6968,Arvo Pärt - Gil Shaham / Adele Anthony / Göteborgs Symfoniker / Neeme Järvi,"Tabula Rasa, Fratres, Symphony No. 3",Deutsche Grammophon,"LP, Album",2017,9901452,Uncategorized,23/11/2019 21:19,23/11/2019,21:19:00,Deutsche Grammophon,,Different,LP,24
DIGIV020,Carousell,Black Swallow & Other Songs,Digitalis Recordings,"LP, Album, Ltd, Cle",2011,2801442,Uncategorized,22/11/2019 15:26,22/11/2019,15:26:00,Digitalis Recordings,,Different,LP,12
DGMLP1,Fripp & Eno,(No Pussyfooting),"Discipline Global Mobile, Opal Records","LP, Album, RE, Gat",2014,5599171,Uncategorized,03/11/2019 11:01,11/03/2019,11:01:00,Discipline Global Mobile,Opal Records,Different,LP,21
DOL709MB,John Coltrane,Blue Train ,DOL,"LP, Album, RE, Blu",2016,8635682,Uncategorized,14/02/2020 09:36,14/02/2020,09:36:00,DOL,,Different,LP,14
REWIGCD 29,The Third Eye Foundation,Collected Works: Ghost / You Guys Kill Me / Little Lost Soul,Domino,"xCD, Album, Comp",2006,848010,Uncategorized,12/09/2023 01:09,09/12/2023,01:09:00,Domino,,Different,CD,5
wigCD126,Four Tet,Rounds,Domino,"CD, Album",2003,843752,Uncategorized,07/12/2019 22:19,12/07/2019,22:19:00,Domino,,Different,CD,7
WIGCD76,Smog,Dongs Of Sevotion,Domino,"CD, Album",2000,234538,Uncategorized,01/12/2019 00:22,12/01/2019,00:22:00,Domino,,Different,CD,2
wigCD79,Movietone,The Blossom Filled Streets,Domino,"CD, Album",2000,537771,Uncategorized,07/12/2019 23:06,12/07/2019,23:06:00,Domino,,Different,CD,2
WIGCD99,Smog,Rain On Lens,Domino,"CD, Album",2001,717407,Uncategorized,20/12/2019 10:41,20/12/2019,10:41:00,Domino,,Different,CD,7
"wigcd131, wiglp131",Movietone,The Sand And The Stars,"Domino, Domino","CD, Album",2003,594612,Uncategorized,07/12/2019 22:59,12/07/2019,22:59:00,Domino,Domino,Same,CD,3
"WIGCD196, WIG1CD96",Fridge,The Sun,"Domino, Domino","CD, Album",2007,1636257,Uncategorized,25/12/2019 12:53,25/12/2019,12:53:00,Domino,Domino,Same,CD,4
"WIGLP389, WIGLP389X, WIGLP389X-CD",Shirley Collins,Lodestar,"Domino, Domino, Domino","LP, Album, Dlx, Ltd, Hea + CD, Album",2016,9298463,Uncategorized,22/11/2019 16:26,22/11/2019,16:26:00,Domino,"Domino, Domino",Different,CD,46
DG-121,Moor Mother,Fetish Bones,Don Giovanni Records,"LP, Album",2016,9221679,Uncategorized,22/11/2019 15:00,22/11/2019,15:00:00,Don Giovanni Records,,Different,LP,12
DG-197,Moor Mother,Circuit City,Don Giovanni Records,"LP, Album, Ltd, Ora",2021,17270386,Uncategorized,18/02/2021 02:10,18/02/2021,02:10:00,Don Giovanni Records,,Different,LP,30
DOZ401,Pierre Schaeffer & Pierre Henry / Pierre Henry,Symphonie Pour Un Homme Seul / Concerto Des Ambiguïtés,Doxy,"LP, Album, RE, Vir",2009,1841591,Uncategorized,22/11/2019 18:13,22/11/2019,18:13:00,Doxy,,Different,LP,15
"DOZ424, DOZ424 LP",Pierre Henry,Le Voyage,"Doxy, Doxy","LP, RE",2013,4701579,Uncategorized,22/11/2019 23:18,22/11/2019,23:18:00,Doxy,Doxy,Same,LP,15
DC249CD,Ghost (2),Hypnotic Underworld,Drag City,"CD, Album",2004,894388,Uncategorized,28/11/2019 23:29,28/11/2019,23:29:00,Drag City,,Different,CD,3
DC390CD,Joanna Newsom,Have One On Me,Drag City,"xCD, Album + Box",2010,2148029,Uncategorized,08/12/2019 15:37,12/08/2019,15:37:00,Drag City,,Different,CD,7
DC691,Circuit Des Yeux,Reaching For Indigo ,Drag City,"LP, Album",2017,11033942,Uncategorized,22/11/2019 23:34,22/11/2019,23:34:00,Drag City,,Different,LP,24
DC853,Oren Ambarchi,Shebang,Drag City,"LP, Album",2022,24675032,Uncategorized,08/10/2022 11:01,10/08/2022,11:01:00,Drag City,,Different,LP,25
Durtrousa 001,Current 93,Soft Black Stars,Durtro,"CD, Album, RE",2005,615755,Uncategorized,25/11/2019 00:15,25/11/2019,00:15:00,Durtro,,Different,CD,3
ECL-036,Marissa Nadler,Ballads Of Living And Dying,Eclipse Records (3),"CD, Album",2004,705657,Uncategorized,12/09/2023 01:16,09/12/2023,01:16:00,Eclipse Records (3),,Different,CD,2
ECL-044,Marissa Nadler,The Saga Of Mayflower May,Eclipse Records (3),"CD, Album",2005,603644,Uncategorized,12/09/2023 01:15,09/12/2023,01:15:00,Eclipse Records (3),,Different,CD,4
"ECM 1675, 547 949-2",Keith Jarrett,"The Melody At Night, With You","ECM Records, ECM Records","CD, Album, RE, RP",0,22138798,Uncategorized,12/09/2023 01:24,09/12/2023,01:24:00,ECM Records,ECM Records,Same,CD,4
"ECM 1684, 314 543 159-2","Ketil Bjørnstad, David Darling",Epigraphs,"ECM Records, ECM Records","CD, Album",2000,6723190,Uncategorized,07/12/2019 23:05,12/07/2019,23:05:00,ECM Records,ECM Records,Same,CD,7
"ECM 2086, 178 0116",Arve Henriksen,Cartography,"ECM Records, ECM Records","CD, Album",2008,1540735,Uncategorized,24/11/2019 18:48,24/11/2019,18:48:00,ECM Records,ECM Records,Same,CD,6
"ECM 2589, 770 5563","Andrew Cyrille, Wadada Leo Smith, Bill Frisell",Lebroba,"ECM Records, ECM Records","LP, Album",2018,12873573,Uncategorized,24/08/2021 17:57,24/08/2021,17:57:00,ECM Records,ECM Records,Same,LP,32
ELP050,Maxwell Sterling,Laced With Rumour: Loud-Speaker Of Truth,Ecstatic,"LP, Album, Sil",2020,15243199,Uncategorized,12/05/2020 10:53,05/12/2020,10:53:00,Ecstatic,,Different,LP,35
EG01,Pat Thomas & XT (2),"""Akisakila"" / Attitudes​ ​Of Preparation (Mountains, Oceans, Trees) ",Edition Gamut,"xLP, Album, Ltd",2022,24433430,Uncategorized,16/10/2022 03:53,16/10/2022,03:53:00,Edition Gamut,,Different,LP,28
Editions Mego 035,Fennesz,Endless Summer,Editions Mego,"CD, Album, RE, RM",2006,864388,Uncategorized,25/12/2019 12:50,25/12/2019,12:50:00,Editions Mego,,Different,CD,4
EDITIONS mego 227,Oren Ambarchi,Hubris,Editions Mego,"LP, Album",2016,9225304,Uncategorized,22/11/2019 23:40,22/11/2019,23:40:00,Editions Mego,,Different,LP,20
eMEGO 082,Marcus Schmickler,Altars Of Science,Editions Mego,"Hybrid, DVDplus, Album",2007,1118094,Uncategorized,20/12/2019 10:49,20/12/2019,10:49:00,Editions Mego,,Different,"Hybrid, DVDplus, Album",5
eMEGO 087,Angel (3),Kalmukia,Editions Mego,"CD, Album",2008,1237596,Uncategorized,25/12/2019 12:54,25/12/2019,12:54:00,Editions Mego,,Different,CD,4
eMEGO 093,Angel (3),Hedonism,Editions Mego,"CD, Album",2008,1556819,Uncategorized,25/11/2019 00:12,25/11/2019,00:12:00,Editions Mego,,Different,CD,5
EMEGO 239,UUUU (2),UUUU,Editions Mego,xLP,2017,10968446,Uncategorized,22/11/2019 17:38,22/11/2019,17:38:00,Editions Mego,,Different,LP,43
EMEGO 245,CoH,CoHgs,Editions Mego,"LP, Comp, RM",2017,11102449,Uncategorized,22/11/2019 23:33,22/11/2019,23:33:00,Editions Mego,,Different,LP,39
EMEGO 259,Caterina Barbieri (2),Ecstatic Computation,Editions Mego,"LP, Album",2019,13532945,Uncategorized,22/11/2019 23:38,22/11/2019,23:38:00,Editions Mego,,Different,LP,26
EMEGO 264,Oren Ambarchi,Simian Angel,Editions Mego,"LP, Album",2019,13762726,Uncategorized,03/11/2019 11:00,11/03/2019,11:00:00,Editions Mego,,Different,LP,19
EMEGO 279,Caterina Barbieri (2),Fantas Variations,Editions Mego,"xLP, Album",2021,18796819,Uncategorized,02/07/2021 06:01,07/02/2021,06:01:00,Editions Mego,,Different,LP,48
eMego 3154,Fenn O'Berg,Magic & Return,Editions Mego,"xCD, Comp, RM",2009,1852961,Uncategorized,07/12/2019 22:15,12/07/2019,22:15:00,Editions Mego,,Different,CD,7
7559-61913-2,Nada Surf,High/Low,Elektra,"CD, Album",1996,1148164,Uncategorized,07/12/2019 22:47,12/07/2019,22:47:00,Elektra,,Different,CD,2
7243 8 34019 2 5,Deep Purple,In Rock,EMI,"CD, Album, RE, RM, Ann",1995,16045290,Uncategorized,12/09/2023 01:19,09/12/2023,01:19:00,EMI,,Different,CD,5
CDP 7 46242 2,Deep Purple,Machine Head,EMI (2),"CD, Album, Unofficial",0,13889433,Uncategorized,12/09/2023 01:21,09/12/2023,01:21:00,EMI (2),,Different,CD,2
"CDS 7 46036 8, 7243 8 31243 2 9",Pink Floyd,The Wall,"EMI United Kingdom, EMI United Kingdom","xCD, Album, RE",1994,15297886,Uncategorized,02/08/2020 18:34,08/02/2020,18:34:00,EMI United Kingdom,EMI United Kingdom,Same,CD,6
"00946 338462 2 7, CD - 338462 2",Sigur Rós,Takk...,"EMI, EMI","CD, Album, Ltd, Dig",2005,522721,Uncategorized,07/12/2019 23:21,12/07/2019,23:21:00,EMI,EMI,Same,CD,2
"50999 5 10419 9 1, 510 4199",Sigur Rós,Heima,"EMI, EMI","xDVD-V, Multichannel, PAL + Box, Ltd, S/Edition",2007,1239540,Uncategorized,25/12/2019 13:08,25/12/2019,13:08:00,EMI,EMI,Same,"xDVD-V, Multichannel, PAL + Box, Ltd, S/Edition",5
