Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
AS 125,Chicago Underground Quartet,Good Days,Astral Spirits,"LP, Ltd, 180",,2020,15090711,Uncategorized,15/08/2020 12:43,,,
ACD 5037,Natasha Barrett,Kraftfelt,Aurora (5),"Album + DVD-A, Amb, Multichannel, 5.1 + CD, Rem",,2005,906231,Uncategorized,25/12/2019 12:51,,,
AVr 01,MAZK / Ogino Knauss,Equilibratura Elettronica,AV Recordings,DVD-V,,2005,568477,Uncategorized,25/12/2019 13:01,,,
bing 033,Landing,Seasons,Ba Da Bing!,"CD, Album",,2002,165402,Uncategorized,20/12/2019 10:41,,,
BING-137,Sarah Davachi,Gave In Rest,Ba Da Bing!,"LP, Album, Red",,2018,12422732,Uncategorized,31/10/2019 23:04,,,
BING048,Beirut,Gulag Orkestar,Ba Da Bing!,"CD, Album",,2006,5926298,Uncategorized,07/12/2019 23:18,,,
none,Blixa Bargeld,Rede / Speech,Bargeld Entertainment,"DVD, NTSC, PAL",,2006,844755,Uncategorized,25/12/2019 13:03,,,
HVALUR 2,Ben Frost,Theory Of Machines,Bedroom Community,"CD, Album",,0,2100899,Uncategorized,25/11/2019 00:08,,,
HVALUR1,Nico Muhly,Speaks Volumes,Bedroom Community,"CD, Album",,2007,13188419,Uncategorized,07/12/2019 22:16,,,
HVALUR3CD,Valgeir Sigurðsson,Ekvílibríum,Bedroom Community,"CD, Album",,2007,1058006,Uncategorized,01/12/2019 00:30,,,
"HVALUR6, HVALUR006CD",Ben Frost,By The Throat,"Bedroom Community, Bedroom Community","CD, Album",,2009,1976702,Uncategorized,07/12/2019 22:06,,,
"HVALUR20LP, STUMM368 ",Ben Frost,A U R O R A,"Bedroom Community, Mute","LP, Album",,2014,5718212,Uncategorized,02/11/2019 11:13,,,
BBQ 367CD,Tindersticks,Don't Even Go There,Beggars Banquet,"CD, EP",,2003,676865,Uncategorized,14/12/2019 17:52,,,
BBQ 372CD,Tindersticks,My Oblivion,Beggars Banquet,"CD, EP",,2003,1317677,Uncategorized,28/11/2019 23:21,,,
BBQCD 225,Tindersticks,Trouble Every Day (Original Soundtrack),Beggars Banquet,"CD, Album",,2001,436649,Uncategorized,20/12/2019 10:41,,,
bbqcd 232,Tindersticks,Waiting For The Moon,Beggars Banquet,"CD, Album, Dig",,2003,970825,Uncategorized,28/11/2019 23:30,,,
BBQDVD 239X,Tindersticks,Bareback (Nine Films By Martin Wallace),Beggars Banquet,DVD-V,,2005,654887,Uncategorized,25/12/2019 13:07,,,
